Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Discriminative dual-stream deep hashing for large-scale image retrieval,Extensive experiments show that the proposed method consistently outperforms current state-of- the-art methods on three benchmark datasets for image retrieval task.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Sequential analysis and clustering to investigate users’ online shopping behaviors based on need-states,A sequential search pattern analysis and clustering approach is proposed to analyze consumers’ search behavior throughout the entire shopping process from the perspective of need-states.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Sequential analysis and clustering to investigate users’ online shopping behaviors based on need-states,We adopt maximal repeat patterns and lag sequential analysis to analyze the sequence of search paths and significant search patterns.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Examining the Influence of Emotional Expressions in Online Consumer Reviews on Perceived Helpfulness,We study how does a reviewer's emotional expression implied in online reviews influence the reader's perceived usefulness.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Examining the Influence of Emotional Expressions in Online Consumer Reviews on Perceived Helpfulness,Reveal that fear-embedded reviews are perceived to be more reviewer`s cognitive effort than angry-embedded reviews.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Examining the Influence of Emotional Expressions in Online Consumer Reviews on Perceived Helpfulness,Reveal that pride-embedded reviews are perceived to more reviewer`s cognitive effort than surprise-embedded reviews.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Examining the Influence of Emotional Expressions in Online Consumer Reviews on Perceived Helpfulness,Show the impacts of different emotional expressions on perceived of reviewer`s cognitive effort is moderated by the gender of readers.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
SimilCatch: Enhanced social spammers detection on Twitter using Markov Random Fields,The Markov Random Fields formalism allows a hybrid social spam detection model that exploits both users features and their content-based similarity.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
SimilCatch: Enhanced social spammers detection on Twitter using Markov Random Fields,Biased and inaccurate prior predictions on users classes can be effectively used in the context of probabilistic graphical models as demonstrated by the significant increase in recall obtained by the proposed approach.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A Comparative Study of Outfit Recommendation Methods with a Focus on Attention-based Fusion,Deep learning based recommender system for outfit recommendation.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A semantic approach to extractive multi-document summarization: Applying sentence expansion for tuning of conceptual densities,Bridging the gap between short texts and the conventional text processing methods by expanding sentences with respect to word sense disambiguation and tuning of conceptual densities in the sentences.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A semantic approach to extractive multi-document summarization: Applying sentence expansion for tuning of conceptual densities,The proposed approach is able to dynamically determine the number of clusters and their initial centroids aiming to identify the main concepts of the documents.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A Pseudo-relevance feedback framework combining relevance matching and semantic matching for information retrieval,"The proposed framework, which combines relevance matching and semantic matching, is more effective than using either relevance matching or semantic matching.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A Pseudo-relevance feedback framework combining relevance matching and semantic matching for information retrieval,Five enhanced models are generated by merging the framework with probability-based PRF models and language-model-based PRF models.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A Pseudo-relevance feedback framework combining relevance matching and semantic matching for information retrieval,Our PRF framework combines relevance matching and semantic matching to improve the quality of the feedback documents.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Leveraging digital forensics and data exploration to understand the creative work of a filmmaker: A case study of Stephen Dwoskin's digital archive,Data exploration of hard drive activities can reveal clues about the artist's life and creative processes.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Leveraging digital forensics and data exploration to understand the creative work of a filmmaker: A case study of Stephen Dwoskin's digital archive,"Data exploration of hard drive activities can uncover the life cycle of files, and identify relationships between files.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Leveraging digital forensics and data exploration to understand the creative work of a filmmaker: A case study of Stephen Dwoskin's digital archive,Analysis of hard drive metadata can help identify file formats and the software environment in which the artist worked.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Dynamic discovery of favorite locations in spatio-temporal social networks,An original framework of semi-supervised learning is presented for POI recommendation,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Dynamic discovery of favorite locations in spatio-temporal social networks,A network embedding method is proposed to learn the vectors of users and POIs in an embedding space with low dimensionality.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Dynamic discovery of favorite locations in spatio-temporal social networks,A dynamic factor graph model is proposed to model different factors including the correlation of users’ vectors and POIs’ vectors.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Region-action LSTM for mouse interaction sequence based search satisfaction evaluation,"Leverage regions to capture the spatial information in mouse interaction data, which could reserve more details of the interaction processes between users and SERPs;",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Region-action LSTM for mouse interaction sequence based search satisfaction evaluation,"Propose a data augmentation strategy MFP to generate new mouse interaction sequences, which could increase the pattern variations on mouse interaction sequences;",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Region-action LSTM for mouse interaction sequence based search satisfaction evaluation,"Propose RALSTM to learn the representations of mouse interaction sequences, which could capture the interactive relations between regions and actions without subjecting the network to higher training complexity.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Credibility assessment of good abandonment results in mobile search,A credibility assessment model of good abandonment results in mobile search is proposed and validated in multiple dimensions.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Credibility assessment of good abandonment results in mobile search,Suggestions on enhancing the credibility of results in mobile search were proposed based on the model.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Incorporating message format into user evaluation of microblog information credibility: A nonlinear perspective,A new theoretical framework is developed to explore microblog information credibility by incorporating message format.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Incorporating message format into user evaluation of microblog information credibility: A nonlinear perspective,"Source credibility was found to have a positive and linear effect on microblog information credibility, consistent with the role of a bivalent factor.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
HTSS: A novel hybrid text summarisation and simplification architecture,This paper presents a new hybrid loss function that enables the text summarisation model to generate easy-to-read simplified summaries.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
HTSS: A novel hybrid text summarisation and simplification architecture,A new evaluation measure for the combined tasks of summarisation and simplification has been proposed.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
HTSS: A novel hybrid text summarisation and simplification architecture,A novel parallel corpus of 5204 articles with their associated summarised simplified text for the combined task of text summasization and simplification has been provided for future research.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
HTSS: A novel hybrid text summarisation and simplification architecture,"The proposed hybrid approach outperforms existing state-of-the-art neural text simplification and abstractive text summarisation models by 38.94% and 53.40%, respectively.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Automatic segmentation of intracerebral hemorrhage in CT images using encoder–decoder convolutional neural network,We develop an encoder-decoder convolutional neural network (ED-Net).,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Automatic segmentation of intracerebral hemorrhage in CT images using encoder–decoder convolutional neural network,We introduce a synthetic loss function to overcome the data imbalanced problem.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Automatic segmentation of intracerebral hemorrhage in CT images using encoder–decoder convolutional neural network,We propose a novel method using ED-Net for intracranial hemorrhage segmentation.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Automatic segmentation of intracerebral hemorrhage in CT images using encoder–decoder convolutional neural network,We evaluate ED-Net on a multi-center intracranial hemorrhage clinical dataset.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Automatic segmentation of intracerebral hemorrhage in CT images using encoder–decoder convolutional neural network,Both quantitative and visual results show ED-Net outperforms other methods.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
I see it in your eyes: Training the shallowest-possible CNN to recognise emotions and pain from muted web-assisted in-the-wild video-chats in real-time,"The proposed models are computationally inexpensive, can be embedded into devices such as smartglasses.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
I see it in your eyes: Training the shallowest-possible CNN to recognise emotions and pain from muted web-assisted in-the-wild video-chats in real-time,"We compute the relevance and utilisation of facial action unit (FAU)-derived features by the model, comparing it against the human perception of emotion expression.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
A Cross-Media Deep Relationship Classification Method Using Discrimination Information,We find that the relationship with same semantic but different entity directions are easily confused. The concept of discrimination is proposed and used to solve this issue.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A Cross-Media Deep Relationship Classification Method Using Discrimination Information,"We combine the cross entropy function with the deformed max-margin function as a new loss function, which can improve the performance of the model.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
A Cross-Media Deep Relationship Classification Method Using Discrimination Information,"We combine the cross entropy function with the deformed max-margin function as a new loss function, which can improve the performance of the model.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,Designing a learnable overall relevance measure that makes full use of structural and attributed information by integrating HeteSim and attribute projection.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,Proposing a constrained negative matrix tri-factorization which utilizes pairwise constraints to cluster nodes of different types at the same time and give a closed solution.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,Modeling a unified framework to simultaneously co-cluster different-type nodes and mine the latent relevance between heterogeneous clusters on realworld attributed HINs such as e-commerce platforms and bibliographic networks.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,"A new benchmark dataset for studies on automatic text summarization, which contains both human-generated abstracts and extracts, was proposed.",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,"Experimental results showed that the use of ensemble feature space remarkably improved the single-use of syntactic or semantic features, and the proposed LSTM-NN also outperformed the state-of-the-art models for extractive summarization.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated",We design an extensible mechanism to add a new disease to an existing knowledge graph.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated",We present a quantitative effort estimation algorithm to quantitatively evaluate the effort of clinicians who are involved.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated","We create a health knowledge graph HuadingKG by HKGB, and develop three tools to apply HuadingKG in real applications.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
HealthAid: Extracting domain targeted high precision procedural knowledge from on-line communities,Used open information extraction tool and a pipeline to build the procedural knowledge base,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A collaborative filtering recommender system using genetic algorithm,Propose a novel recommender system finds the best list of items for users using GA.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A collaborative filtering recommender system using genetic algorithm,Propose a multi-objective GA has n-fitness functions based on n-filtering criteria.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Robust Decentralised Trust Management for the Internet of Things by Using Game Theory,An empirical assessment is presented with an implementation realised with Hyperledger platform.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Multi-Sentence Video Captioning using Content-oriented Beam Searching and Multi-stage Refining Algorithm,A new multi-sentence video captioning algorithm is proposed.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Multi-Sentence Video Captioning using Content-oriented Beam Searching and Multi-stage Refining Algorithm,A new content-oriented beam search approach and a multi-stage refining method are used.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
EdgeSumm: Graph-based framework for automatic text summarization,Proposing a new text graph representation model and proposing an algorithm to construct it from the input text.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
EdgeSumm: Graph-based framework for automatic text summarization,Proposing a new method to dynamically compute weight values for the graph nodes. The method is based on the characteristics of the input document. The weights are adjusted based on the distribution of words and their frequencies in the input text.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
EdgeSumm: Graph-based framework for automatic text summarization,Proposing a graph search algorithm to search for the candidate nodes and edges in the text graph. The selected nodes and edges represent the important phrases in the input text.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
EdgeSumm: Graph-based framework for automatic text summarization,"Proposing a sentence selection algorithm that ranks candidate sentences, groups these sentences in a set of clusters using the K-means clustering algorithm, and selects the top-ranked sentences from each cluster for the final generated summary.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A Google Trends spatial clustering approach for a worldwide Twitter user geolocation,"we propose a new unsupervised clustering approach for the user location estimation, based on GT noun city distributions, city polygons, a synthetic sampling and three clustering algorithms: Gaussian Mixture Models (GMM), K-means and Density-Based Spatial Clustering of Applications with Noise (DBSCAN)",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A Google Trends spatial clustering approach for a worldwide Twitter user geolocation,"we create a recent Twitter user dataset with ground truth city-level locations for 3,268 worldwide users, to compare the proposed approach with a WD method that uses GMM and labeled tweets",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
"Effective influence estimation in twitter using temporal, profile, structural and interaction characteristics",Proposed two models Time Decay Features Cascade Model (TDF-C) and Time Decay Features Cascade Threshold Model (TDF-CT).,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
"Effective influence estimation in twitter using temporal, profile, structural and interaction characteristics",TDF-C and TDF-CT improve the influence propagation upto 39% with respect to contemporary models.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Discovering attractive segments in the user-generated video streams,"investigate the issue of predicting the success of video segments, which can assist viewers in finding appealing shots.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Discovering attractive segments in the user-generated video streams,"time-sync comments information mining, is used to understand the audience better",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Towards a real-time processing framework based on improved distributed recurrent neural network variants with fastText for social big data analytics,"A distributed intelligent framework for real-time social big data analytics that ingests, stores, processes, indexes, and visualizes massive amounts of data.",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Towards a real-time processing framework based on improved distributed recurrent neural network variants with fastText for social big data analytics,propose a sentiment analysis method based on using fastText with recurrent neural network variants to efficiently represent textual data.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Towards a real-time processing framework based on improved distributed recurrent neural network variants with fastText for social big data analytics,"For sentiment analysis, we devised a solution to boost the efficiency of well-known Recurrent neural network models such as LSTM, BiLSTM, and GRU.",IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
A content-location-aware public welfare activity information push system based on microblog,Propose a subject model and keyword search-based approach for identifying users who are specifically interested in learning about public welfare activities.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A content-location-aware public welfare activity information push system based on microblog,"By comparing the correlations between seed users and local users, a distance metric learning-based approach is used to achieve a specific number of local possible users.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Opinion spam detection: Using multi-iterative graph-based model,"A new graph-based paradigm called ""Multi-iterative Graph-based opinion Spam Detection"" (MGSD) is proposed, in which all different forms of entities are considered at the same time within a single system.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
SNSJam: Road traffic analysis and prediction by fusing data from multiple social networks,"A new system called as SNSJam was proposed Using several data sources, including Twitter and Instagram, a system to identify and forecast road traffic jams has been developed.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
SNSJam: Road traffic analysis and prediction by fusing data from multiple social networks,A Location recognizer that uses the text of posts and/or GPS coordinates to identify locations. It is first system that define and support user-defined locations.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Hybrid context enriched deep learning model for fine-grained sentiment analysis in textual and visual semiotic modality social data,a fine-grained emotion prediction model for real-time multimodal data using a hybrid deep learning approach,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Hybrid context enriched deep learning model for fine-grained sentiment analysis in textual and visual semiotic modality social data,Sentiment for textual modality is calculated using a convolution neural network (ConvNet) enriched with SentiCircle's qualitative semantics.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Hybrid context enriched deep learning model for fine-grained sentiment analysis in textual and visual semiotic modality social data,"The proposed model's accuracy is approximately 91 percent, which is an increase over the accuracy obtained by the text and image modules separately.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Privacy-preserving multi-criteria collaborative filtering,"A novel entropy-based privacy-preserving MCCF architecture is proposed, which enables users and sub-criteria to manage privacy-specific parameters dynamically.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A multi-centrality index for graph-based keyword extraction,"A multi-centrality index (MCI) method, which seeks to find the best combination of word rankings based on a number of different centrality measures",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A multi-centrality index for graph-based keyword extraction,The proposed MCI approach significantly outperforms the individual centralities,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
"Implicit information need as explicit problems, help, and behavioral signals","By combining perceived problem(s) and search behavioral features, it is possible to infer users’ needed help(s) in search with a certain level of accuracy (78%).",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Changing views: Persuasion modeling and argument extraction from online discussions,We propose an attention-based Hierarchical LSTM network to identify successful persuasion from CMV conversations. We use this model to predict whether a particular chain of comments is going to persuade the OP or not. This model jointly learns the binary classification of persuasion guided by Δ-score and regression task of predicting the karma score for each comment.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Changing views: Persuasion modeling and argument extraction from online discussions,"We incorporate an attention mechanism in our model which weighs sentences in a comment accordingly; we use these weights to identify argumentative sentences. To the best of our knowledge, this is the first attempt to train a neural network for a supervised task (persuasion prediction) and force it to learn an unsupervised task (argumentative sentence identification).",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Changing views: Persuasion modeling and argument extraction from online discussions,"We propose a novel algorithm to detect argument components from argumentative sentences. This algorithm exploits some linguistic rules to identify a subset of argument components and finds the closure using similarity measurements. We employ Dynamic Time Warping distance (a measurement of geometric similarity between variable length time series data) to compute the similarity between text segments taken as time series. To the best of our knowledge, this is the first semi-supervised approach for argument mining from social media conversations",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Using weighted k-means to identify Chinese leading venture capital firms incorporating with centrality measures,"This paper incorporates with several different centrality measures of co-investment network of VCs, and then proposes a new approach based on the weighted k-means to rank VCs at both group and individual levels and identify the leading VCs",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Using weighted k-means to identify Chinese leading venture capital firms incorporating with centrality measures,"Empirical analysis shows the efficiency and practicability of the proposed approach to identify leading Chinese VCs. It indicates that the proposed method is worth considering, especially as is helpful for social scientists to understand leading VCs based on the results of analyzing historical data of investment events.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
On the negative impact of social influence in recommender systems: A study of bribery in collaborative hybrid algorithms,we propose a novel hybrid Collaborative Filtering algorithm to counter bribing;,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
User community detection via embedding of social network structure and temporal content,"We propose a community detection method that considers users’ topical interests and their temporal evolution in tandem by learning neural user representations, which embeds users in an embedding space where those users who have similar inclination towards similar topics in similar time intervals will be embedded close to each other.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
User community detection via embedding of social network structure and temporal content,We employ neural graph embedding techniques to embed information from users’ social network structure into user representations.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
User community detection via embedding of social network structure and temporal content,"We demonstrate the performance of the various variations of our work in the context of news recommendation and user prediction, and compare them to the state of the art on a Twitter dataset.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Compact group discovery in attributed graphs and social networks,We define the novel attributed group (AG) query problem over attributed graphs and we propose new objective functions to rank the results.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Compact group discovery in attributed graphs and social networks,"We prove that optimizing these objectives is NP-hard. Thus, we propose approximation algorithms with a guaranteed ratio of two to find the answers efficiently.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Compact group discovery in attributed graphs and social networks,"Since the total number of answers is exponential in the number of query keywords and the size of the group, we propose a procedure to find approximate top-k groups with polynomial delay.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Compact group discovery in attributed graphs and social networks,"We experimentally compare our methods against existing approaches on real-world large graphs, showing that our algorithms efficiently find compact groups with the desired size and keyword coverage.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Boosted seed oversampling for local community ranking,Proposed a boosting scheme to combine seed oversampling iterations,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Boosted seed oversampling for local community ranking,Produced higher quality ranks compared to the neighborhood inflation heuristic.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Churn modeling with probabilistic meta paths-based representation learning,We propose a random walks sampling method based on the corresponding Markov models.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Churn modeling with probabilistic meta paths-based representation learning,Experiments on real-life datasets show the benefit of probabilistic meta path RL,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Churn modeling with probabilistic meta paths-based representation learning,We obtain promising insights on meta path type and predictive outcome interplay.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
The rise and fall of network stars: Analyzing 2.5 million graphs to reveal how high-degree vertices emerge over time,we constructed the largest network evolution corpora that is publicly available.,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
The rise and fall of network stars: Analyzing 2.5 million graphs to reveal how high-degree vertices emerge over time,"we developed a simple model, utilizing all the above observations, that uses real-world big data to confirm and explain our observations. Our Temporal Preferential Attachment (TPA) model improves upon previous models because it more correctly represents real-world data, especially for networks that are growing quickly, and can be used in a more flexible manner. Furthermore, our model gives insights on the changing popularity of network stars",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
HClaimE: A tool for identifying health claims in health news headlines,A new method for extracting science claims in news headlines.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
HClaimE: A tool for identifying health claims in health news headlines,The new method is tailored to the language style of news headlines.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
An approach for measuring semantic similarity between Wikipedia concepts using multiple inheritances,We introduce a new IC-based function to compute the semantic contribution weight of a category in WCG,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
